Model,Accuracy,Precision,Recall,Specificity,F1
001s,0.8788221970554927,0.7397260273972602,0.21686746987951808,0.987475280158207,0.3354037267080745
002s,0.8788221970554927,0.631578947368421,0.3373493975903614,0.967699406723797,0.43979057591623033
003s,0.8839184597961495,0.6549295774647887,0.37349397590361444,0.967699406723797,0.4757033248081841
003bs,0.8850509626274066,0.6337209302325582,0.43775100401606426,0.958470665787739,0.5178147268408552
004s,0.8765571913929785,0.6476190476190476,0.27309236947791166,0.975609756097561,0.38418079096045205
005s,0.869762174405436,0.5871559633027523,0.2570281124497992,0.970336189848385,0.3575418994413408
006s,0.8725934314835787,0.6395348837209303,0.22088353413654618,0.979564930784443,0.3283582089552239
007s,0.8890147225368064,0.6666666666666666,0.42570281124497994,0.9650626235992089,0.5196078431372548
