Model,Accuracy,Precision,Recall,Specificity,F1
003c,0.8895809739524349,0.6666666666666666,0.4523809523809524,0.9623513870541611,0.5390070921985816
sub_2,0.8299681190223167,0.7017543859649122,0.6349206349206349,0.9013062409288825,0.6666666666666666
sub_3,0.7522388059701492,0.6335403726708074,0.8095238095238095,0.7177033492822966,0.7108013937282229
sub_4,0.7155963302752294,0.8299319727891157,0.48412698412698413,0.9146757679180887,0.6115288220551378
sub_5,0.7607223476297968,0.7807692307692308,0.8055555555555556,0.7015706806282722,0.7929687499999999
