model,score_test,f1,mcc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.8517710675640395,0.516596258298129,0.48128599231405544,0.9418686478921139,131.43454575538635,57.39576983451843,8505.289406061172,0.004324197769165039,0.0027298927307128906,1.706589937210083,3,True,16
RandomForestEntr_BAG_L2,0.8515699814137833,0.5250596658711217,0.4882196932516318,0.9371025699000481,125.68488001823425,42.50040030479431,7360.342880249023,0.23902416229248047,1.8080801963806152,2.1561222076416016,2,True,10
CatBoost_BAG_L2,0.8508778408115484,0.5095923261390887,0.4718334122157177,0.935088768342748,128.85612869262695,43.14487171173096,8492.100227832794,3.4102728366851807,2.4525516033172607,1133.9134697914124,2,True,11
ExtraTreesEntr_BAG_L2,0.8498422212245654,0.5049382716049382,0.47371282393130276,0.9389619307978779,126.61346364021301,48.71654415130615,7362.722954034805,1.1676077842712402,8.024224042892456,4.536195993423462,2,True,13
ExtraTreesGini_BAG_L2,0.8494243714600187,0.5088902513795218,0.4764460245305664,0.9384647869690577,126.36492991447449,42.49451804161072,7360.814515113831,0.9190740585327148,1.8021979331970215,2.6277570724487305,2,True,12
RandomForestGini_BAG_L2,0.848379034436651,0.5195729537366547,0.48071531553912683,0.9381355377954507,125.69424271583557,43.305986166000366,7360.349271059036,0.24838685989379883,2.61366605758667,2.162513017654419,2,True,9
WeightedEnsemble_L2,0.8483016836430282,0.4780876494023905,0.4657029220097267,0.927962074680888,124.35419583320618,36.84226727485657,7355.7952127456665,0.005429983139038086,0.0030672550201416016,2.309508800506592,2,True,8
RandomForestEntr_BAG_L1,0.8481158862593505,0.4598155467720685,0.44169585721458476,0.9054297150182097,0.5269749164581299,2.0379221439361572,2.6011998653411865,0.5269749164581299,2.0379221439361572,2.6011998653411865,1,True,2
NeuralNetTorch_BAG_L2,0.8469503121564482,0.5023866348448687,0.4626227460262253,0.9272548055991047,139.13908290863037,43.0458824634552,8963.525501966476,13.693227052688599,2.353562355041504,1605.3387439250946,2,True,15
ExtraTreesEntr_BAG_L1,0.8465068731427549,0.45627876397107164,0.436927584288792,0.9072547869129994,0.38262486457824707,7.926318883895874,5.0780930519104,0.38262486457824707,7.926318883895874,5.0780930519104,1,True,5
NeuralNetFastAI_BAG_L2,0.8457313569363385,0.487033523086654,0.4600718019684166,0.9155959839822705,189.086092710495,57.55109477043152,8784.099933385849,63.64023685455322,16.858774662017822,1425.9131753444672,2,True,14
CatBoost_BAG_L1,0.8448811460355775,0.4754869039623909,0.4669563496618229,0.9252226916587096,2.715463161468506,5.184490919113159,2405.1969425678253,2.715463161468506,5.184490919113159,2405.1969425678253,1,True,3
ExtraTreesGini_BAG_L1,0.8440023658718452,0.4608355091383812,0.43977815523661384,0.9040093841620309,0.33505702018737793,1.9860882759094238,2.0876331329345703,0.33505702018737793,1.9860882759094238,2.0876331329345703,1,True,4
RandomForestGini_BAG_L1,0.8424657152648617,0.45743989603638724,0.4343792023187116,0.9036690167558306,0.5701150894165039,1.8151979446411133,2.0998542308807373,0.5701150894165039,1.8151979446411133,2.0998542308807373,1,True,1
NeuralNetFastAI_BAG_L1,0.8308794215145336,0.44317460317460317,0.41103304336134566,0.9160395921196958,102.16648387908936,19.721935987472534,1849.6015892028809,102.16648387908936,19.721935987472534,1849.6015892028809,1,True,6
NeuralNetTorch_BAG_L1,0.8274229293924594,0.4742857142857143,0.422479087231261,0.9182991159603632,18.749136924743652,2.0203659534454346,3091.5214459896088,18.749136924743652,2.0203659534454346,3091.5214459896088,1,True,7
