Model,Accuracy,Precision,Recall,Specificity,F1
001s,0.876372039283651,0.5,0.08878504672897196,0.987475280158207,0.15079365079365079
002s,0.876372039283651,0.5,0.22897196261682243,0.967699406723797,0.3141025641025641
003s,0.8809523809523809,0.5,0.23902439024390243,0.967699406723797,0.3234323432343234
003bs,0.8819767441860465,0.5,0.3103448275862069,0.958470665787739,0.3829787234042554
004s,0.8743515850144092,0.5,0.16972477064220184,0.975609756097561,0.2534246575342466
005s,0.8683457355466514,0.5,0.1956521739130435,0.970336189848385,0.28125
006s,0.8708381171067738,0.5,0.13777777777777778,0.979564930784443,0.21602787456445993
007s,0.8855808523058961,0.5,0.27040816326530615,0.9650626235992089,0.3509933774834437
